# Expected threshold = 0.00
# SNR, histogram, survival histogram, random survival histogram
-8.569336 0.000000 35863415524910.000000 38111186780160.000000
-8.500977 0.000000 35863415524910.000000 38111186780160.000000
-8.432617 0.000000 35863415524910.000000 38111186780160.000000
-8.364258 0.000000 35863415524910.000000 38111186780160.000000
-8.295898 0.000000 35863415524910.000000 38111186780160.000000
-8.227539 0.000000 35863415524910.000000 38111186780160.000000
-8.159180 0.000000 35863415524910.000000 38111186780160.000000
-8.090820 0.000000 35863415524910.000000 38111186780160.000000
-8.022461 0.000000 35863415524910.000000 38111186780160.000000
-7.954102 1.000000 35863415524910.000000 38111186780160.000000
-7.885742 0.000000 35863415524909.000000 38111186780160.000000
-7.817383 2.000000 35863415524909.000000 38111186780160.000000
-7.749023 3.000000 35863415524907.000000 38111186780160.000000
-7.680664 1.000000 35863415524904.000000 38111186780160.000000
-7.612305 8.000000 35863415524903.000000 38111186780160.000000
-7.543945 4.000000 35863415524895.000000 38111186780160.000000
-7.475586 7.000000 35863415524891.000000 38111186780160.000000
-7.407227 10.000000 35863415524884.000000 38111186780160.000000
-7.338867 24.000000 35863415524874.000000 38111186780160.000000
-7.270508 30.000000 35863415524850.000000 38111186780160.000000
-7.202148 69.000000 35863415524820.000000 38111186780160.000000
-7.133789 54.000000 35863415524751.000000 38111186780160.000000
-7.065430 75.000000 35863415524697.000000 38111186780160.000000
-6.997070 124.000000 35863415524622.000000 38111186780160.000000
-6.928711 172.000000 35863415524498.000000 38111186780160.000000
-6.860352 301.000000 35863415524326.000000 38111186780160.000000
-6.791992 404.000000 35863415524025.000000 38111186780160.000000
-6.723633 644.000000 35863415523621.000000 38111186780160.000000
-6.655273 892.000000 35863415522977.000000 38111186780160.000000
-6.586914 1386.000000 35863415522085.000000 38111186780160.000000
-6.518555 2015.000000 35863415520699.000000 38111186780160.000000
-6.450195 2684.000000 35863415518684.000000 38111186780160.000000
-6.381836 4266.000000 35863415516000.000000 38111186780160.000000
-6.313477 6060.000000 35863415511734.000000 38111186780160.000000
-6.245117 8123.000000 35863415505674.000000 38111186780160.000000
-6.176758 12635.000000 35863415497551.000000 38111186780160.000000
-6.108398 18338.000000 35863415484916.000000 38111186780160.000000
-6.040039 24919.000000 35863415466578.000000 38111186780160.000000
-5.971680 38085.000000 35863415441659.000000 38111186780160.000000
-5.903320 55412.000000 35863415403574.000000 38111186780160.000000
-5.834961 73447.000000 35863415348162.000000 38111186780160.000000
-5.766602 112284.000000 35863415274715.000000 38111186780160.000000
-5.698242 161596.000000 35863415162431.000000 38111186780160.000000
-5.629883 214472.000000 35863415000835.000000 38111186780160.000000
-5.561523 324600.000000 35863414786363.000000 38111186780160.000000
